Ticker_Symbol,Gross_Margin
AAL,73
AAL,58
AAL,63
AAL,59
AAP,45
AAP,45
AAP,50
AAP,50
AAPL,39
AAPL,40
AAPL,39
AAPL,38
ABBV,78
ABBV,80
ABBV,75
ABBV,76
ABC,2
ABC,3
ABC,3
ABC,3
ABT,54
ABT,57
ABT,53
ABT,53
ADBE,85
ADBE,86
ADBE,84
ADBE,86
ADI,66
ADI,64
ADI,65
ADI,64
ADM,4
ADM,6
ADM,6
ADM,4
ADS,34
ADS,31
ADS,33
ADS,30
ADSK,85
ADSK,86
ADSK,90
ADSK,88
AEE,41
AEE,40
AEE,43
AEE,40
AEP,55
AEP,53
AEP,57
AEP,55
AFL,33
AFL,36
AFL,37
AFL,37
AIG,47
AIG,50
AIG,48
AIG,37
AIV,60
AIV,61
AIV,61
AIV,63
AIZ,26
AIZ,22
AIZ,16
AIZ,30
AJG,100
AJG,100
AJG,100
AJG,100
AKAM,61
AKAM,67
AKAM,69
AKAM,68
ALB,33
ALB,36
ALB,36
ALB,32
ALK,65
ALK,57
ALK,54
ALK,50
ALL,35
ALL,43
ALL,40
ALL,36
ALLE,42
ALLE,44
ALLE,42
ALLE,40
ALXN,92
ALXN,91
ALXN,89
ALXN,92
AMAT,40
AMAT,42
AMAT,42
AMAT,41
AME,35
AME,35
AME,36
AME,35
AMG,100
AMG,100
AMG,100
AMG,100
AMGN,82
AMGN,82
AMGN,80
AMGN,78
AMP,81
AMP,83
AMP,84
AMP,81
AMT,73
AMT,73
AMT,74
AMT,75
AMZN,27
AMZN,33
AMZN,35
AMZN,29
AN,15
AN,16
AN,16
AN,16
ANTM,22
ANTM,21
ANTM,23
ANTM,23
AON,100
AON,100
AON,100
AON,100
APA,81
APA,80
APA,80
APA,68
APC,63
APC,82
APC,80
APC,63
APD,30
APD,27
APD,27
APD,33
APH,31
APH,31
APH,32
APH,32
ARNC,16
ARNC,14
ARNC,20
ARNC,20
ATVI,66
ATVI,66
ATVI,65
ATVI,67
AVB,100
AVB,100
AVB,100
AVB,100
AVGO,45
AVGO,52
AVY,28
AVY,26
AVY,26
AVY,27
AWK,56
AWK,55
AWK,55
AWK,53
AXP,0
AXP,0
AXP,0
AXP,0
AYI,44
AYI,40
AYI,41
AYI,42
AZO,52
AZO,52
AZO,52
AZO,53
BA,15
BA,15
BA,15
BA,15
BAC,0
BAC,0
BAC,0
BAC,0
BAX,44
BAX,51
BAX,43
BAX,42
BBBY,38
BBBY,40
BBBY,39
BBBY,40
BBT,0
BBT,0
BBT,0
BBT,0
BBY,24
BBY,23
BBY,23
BBY,22
BCR,62
BCR,63
BCR,62
BCR,61
BDX,46
BDX,48
BDX,51
BDX,52
BHI,17
BHI,20
BHI,8
BHI,1
BIIB,88
BIIB,88
BIIB,88
BIIB,87
BK,100
BK,100
BK,100
BK,100
BLL,19
BLL,19
BLL,19
BLL,18
BMY,74
BMY,76
BMY,72
BMY,75
BSX,70
